0.00,123.00,8.00,1
1.00,332.00,8.00,1
1.00,143.00,2.00,1
1.00,144.00,3.00,1
1.00,112.00,5.00,1
1.00,114.00,2.00,1
1.00,322.00,1.00,1
1.00,321.00,1.00,1
1.00,113.00,3.00,1
1.00,323.00,5.00,1
1.00,142.00,1.00,1
1.00,232.00,3.00,1
1.00,313.00,9.00,1
1.00,223.00,3.00,1
1.00,341.00,7.00,1
1.00,111.00,7.00,1
1.00,221.00,1.00,1
1.00,424.00,2.00,1
1.00,344.00,4.00,1
1.00,331.00,6.00,1
2.00,113.00,6.00,1
2.00,214.00,6.00,1
2.00,344.00,2.00,1
2.00,313.00,1.00,1
2.00,324.00,1.00,1
2.00,124.00,3.00,1
2.00,112.00,7.00,1
3.00,221.00,1.00,1
3.00,111.00,3.00,1
3.00,322.00,9.00,1
3.00,431.00,9.00,1
3.00,332.00,1.00,1
3.00,344.00,5.00,1
3.00,331.00,4.00,1
3.00,144.00,1.00,1
3.00,223.00,9.00,1
3.00,242.00,2.00,1
3.00,222.00,8.00,1
3.00,114.00,8.00,1
3.00,142.00,1.00,1
3.00,211.00,3.00,1
3.00,341.00,9.00,1
3.00,324.00,3.00,1
3.00,143.00,1.00,1
3.00,443.00,4.00,1
4.00,123.00,3.00,1
4.00,324.00,2.00,1
4.00,322.00,4.00,1
4.00,323.00,11.00,1
4.00,143.00,2.00,1
4.00,423.00,5.00,1
4.00,144.00,3.00,1
5.00,113.00,1.00,1
5.00,231.00,4.00,1
5.00,221.00,3.00,1
5.00,233.00,2.00,1
5.00,111.00,3.00,1
5.00,232.00,8.00,1
5.00,322.00,2.00,1
5.00,123.00,2.00,1
5.00,314.00,8.00,1
6.00,423.00,3.00,1
6.00,431.00,4.00,1
6.00,322.00,7.00,1
6.00,231.00,1.00,1
6.00,111.00,6.00,1
6.00,233.00,4.00,1
6.00,211.00,7.00,1
6.00,224.00,2.00,1
6.00,113.00,3.00,1
6.00,323.00,2.00,1
6.00,332.00,9.00,1
6.00,241.00,3.00,1
6.00,223.00,1.00,1
6.00,443.00,8.00,1
6.00,114.00,5.00,1
6.00,243.00,8.00,1
6.00,424.00,3.00,1
6.00,123.00,11.00,1
6.00,221.00,2.00,1
6.00,324.00,11.00,1
7.00,112.00,2.00,1
7.00,132.00,1.00,1
7.00,232.00,2.00,1
7.00,242.00,4.00,1
7.00,322.00,8.00,1
7.00,343.00,1.00,1
7.00,244.00,2.00,1
7.00,331.00,7.00,1
7.00,332.00,8.00,1
7.00,221.00,2.00,1
7.00,113.00,1.00,1
8.00,144.00,5.00,1
8.00,143.00,2.00,1
8.00,433.00,5.00,1
8.00,322.00,8.00,1
8.00,331.00,11.00,1
8.00,323.00,1.00,1
8.00,114.00,9.00,1
8.00,223.00,5.00,1
8.00,332.00,2.00,1
8.00,113.00,3.00,1
8.00,112.00,4.00,1
8.00,134.00,4.00,1
8.00,324.00,6.00,1
8.00,111.00,3.00,1
9.00,223.00,2.00,1
9.00,231.00,5.00,1
9.00,322.00,11.00,1
9.00,114.00,3.00,1
9.00,111.00,7.00,1
9.00,113.00,6.00,1
9.00,323.00,2.00,1
9.00,232.00,2.00,1
9.00,422.00,10.00,1
9.00,442.00,3.00,1
9.00,142.00,4.00,1
9.00,331.00,3.00,1
10.00,142.00,2.00,1
10.00,344.00,10.00,1
10.00,323.00,2.00,1
10.00,332.00,1.00,1
10.00,343.00,10.00,1
10.00,311.00,1.00,1
10.00,331.00,2.00,1
10.00,113.00,7.00,1
10.00,143.00,8.00,1
10.00,322.00,2.00,1
10.00,114.00,5.00,1
10.00,123.00,5.00,1
10.00,144.00,5.00,1
10.00,111.00,2.00,1
10.00,321.00,1.00,1
10.00,422.00,1.00,1
10.00,212.00,3.00,1
10.00,211.00,2.00,1
10.00,124.00,1.00,1
11.00,223.00,3.00,1
11.00,331.00,3.00,1
11.00,343.00,4.00,1
11.00,234.00,11.00,1
11.00,224.00,6.00,1
11.00,113.00,7.00,1
11.00,442.00,9.00,1
11.00,222.00,10.00,1
11.00,332.00,5.00,1
11.00,232.00,4.00,1
11.00,123.00,4.00,1
11.00,242.00,3.00,1
11.00,231.00,1.00,1
11.00,431.00,4.00,1
11.00,114.00,6.00,1
11.00,422.00,3.00,1
11.00,233.00,4.00,1
11.00,112.00,7.00,1
11.00,322.00,2.00,1
11.00,144.00,6.00,1
11.00,241.00,1.00,1
12.00,222.00,5.00,1
12.00,112.00,1.00,1
12.00,111.00,7.00,1
12.00,332.00,9.00,1
12.00,114.00,7.00,1
12.00,224.00,3.00,1
12.00,243.00,11.00,1
12.00,344.00,4.00,1
12.00,432.00,1.00,1
12.00,324.00,8.00,1
12.00,113.00,1.00,1
12.00,442.00,7.00,1
12.00,323.00,3.00,1
12.00,142.00,1.00,1
12.00,322.00,10.00,1
12.00,414.00,4.00,1
12.00,331.00,5.00,1
12.00,123.00,6.00,1
12.00,444.00,8.00,1
12.00,233.00,6.00,1
12.00,223.00,9.00,1
12.00,232.00,2.00,1
13.00,112.00,2.00,1
13.00,314.00,8.00,1
13.00,114.00,4.00,1
13.00,331.00,8.00,1
13.00,324.00,2.00,1
13.00,221.00,4.00,1
13.00,223.00,2.00,1
13.00,123.00,1.00,1
13.00,222.00,6.00,1
13.00,111.00,6.00,1
13.00,332.00,4.00,1
13.00,234.00,1.00,1
13.00,343.00,1.00,1
13.00,144.00,4.00,1
13.00,411.00,4.00,1
13.00,441.00,5.00,1
13.00,344.00,4.00,1
13.00,244.00,2.00,1
13.00,342.00,5.00,1
13.00,323.00,1.00,1
13.00,113.00,1.00,1
14.00,322.00,1.00,1
14.00,224.00,1.00,1
14.00,244.00,8.00,1
14.00,233.00,1.00,1
14.00,324.00,2.00,1
14.00,112.00,2.00,1
14.00,144.00,3.00,1
14.00,142.00,11.00,1
14.00,431.00,3.00,1
14.00,222.00,3.00,1
14.00,323.00,1.00,1
14.00,313.00,3.00,1
14.00,433.00,1.00,1
14.00,434.00,1.00,1
14.00,212.00,4.00,1
14.00,231.00,4.00,1
14.00,343.00,1.00,1
15.00,443.00,5.00,1
15.00,231.00,3.00,1
15.00,114.00,4.00,1
15.00,243.00,3.00,1
16.00,322.00,3.00,1
16.00,343.00,4.00,1
16.00,144.00,1.00,1
16.00,113.00,2.00,1
16.00,111.00,1.00,1
16.00,331.00,2.00,1
16.00,124.00,2.00,1
16.00,123.00,1.00,1
16.00,344.00,3.00,1
16.00,231.00,2.00,1
16.00,233.00,2.00,1
16.00,212.00,2.00,1
